,UMAP1,UMAP2,UMAP3,cluster_label,Planet
0,8.347655,7.083326,-0.6180722,2,7 CMa b
1,8.649655,7.184061,-1.0013825,2,7 CMa c
2,9.914818,6.1606646,-5.003501,1,GJ 876 b
3,10.182869,6.6850047,-4.7256656,1,GJ 876 c
4,9.638662,6.481395,-4.801289,1,GJ 876 d
5,9.62332,5.8274994,-4.755677,1,GJ 876 e
6,8.805764,5.5709734,-2.4398885,0,HAT-P-1 b
7,9.178451,6.196223,-3.2196288,4,HAT-P-25 b
8,9.414094,6.6648483,-2.0642939,4,HAT-P-29 b
9,9.56014,7.839269,-1.8063059,4,HAT-P-32 b
10,9.900012,5.854648,-2.0465286,4,HAT-P-36 b
11,9.132802,7.0731378,-1.744162,4,HAT-P-9 b
12,9.160326,7.2153687,-2.933722,4,HD 136352 b
13,8.698557,6.5552588,-2.9334812,4,HD 136352 c
14,8.184447,6.000228,-1.8850831,0,HD 149026 b
15,8.123096,5.6841793,-0.573827,0,HD 202772 A b
16,10.081868,5.904072,-3.866658,1,HD 219134 b
17,10.014766,8.5487795,-2.0817783,4,HD 89345 b
18,9.975685,7.982639,-2.1817205,4,HD 89345 b
19,10.233912,7.9654555,-1.6861107,4,K2-232 b
20,9.838354,6.1823363,-4.2584014,1,K2-266 c
21,10.252336,5.827551,-4.3876867,1,K2-266 d
22,9.565622,5.745342,-4.168864,1,K2-266 e
23,9.517144,6.690999,-3.567348,4,K2-329 b
24,7.9392295,6.257965,-0.6528499,0,KELT-11 b
25,8.348032,5.9457145,-0.20750311,0,KELT-12 b
26,9.29085,5.4218216,-1.7608116,0,KELT-14 b
27,8.657556,5.6436977,-1.5627154,0,KELT-15 b
28,10.042949,5.680736,-0.72701967,0,KELT-16 b
29,8.9860735,6.0279717,-0.031193547,0,KELT-18 b
30,9.291036,5.513937,-2.5940344,0,KELT-23 A b
31,10.200277,6.4146023,-0.86939573,3,KELT-24 b
32,9.175223,5.286773,-0.99331295,0,KELT-3 b
33,8.722692,6.0366197,-1.161324,0,KELT-4 A b
34,8.95511,5.363421,-0.4344803,0,KELT-7 b
35,9.784753,5.7797065,-3.2634215,1,Qatar-1 b
36,10.274639,7.153146,-1.2679813,3,TOI-172 b
37,9.3017845,8.112859,-1.8702707,4,TOI-954 b
38,9.36603,5.9912386,-0.6881657,0,WASP-12 b
39,10.093366,5.821209,-1.225053,3,WASP-173 A b
40,8.776962,5.4187407,-0.18417186,0,WASP-178 b
41,8.476572,6.7481933,-2.327434,4,Earth
