number,pl_name
1,HD 210277 b
2,HD 222582 b
3,HD 10697 b
4,HD 141937 b
5,HD 147513 b
6,HD 142415 b
7,HD 183263 b
8,HD 159868 b
9,HD 100777 b
10,HD 132406 b
11,HD 16175 b
12,HD 73534 b
13,BD+14 4559 b
14,HD 181720 b
15,GJ 876 e
16,HD 34445 b
17,HD 10180 g
18,Kepler-16 b
19,HD 63765 b
20,HD 137388 b
21,HD 163607 c
22,HD 219415 b
23,BD-06 1339 c
24,Kepler-68 d
25,Kepler-309 c
26,HD 13908 c
27,HD 141399 d
28,Kapteyn c
29,HD 10442 b
30,GJ 3293 c
31,HD 564 b
32,HD 1605 c
33,WASP-47 c
34,KELT-6 c
35,WASP-41 c
36,KIC 9663113 b
37,Kepler-454 c
38,Kepler-1086 c
39,Kepler-553 c
40,Kepler-1600 b
41,Kepler-1593 b
42,HD 221585 b
43,HD 214823 b
44,Kepler-1647 b
45,HD 9174 b
46,HD 165155 b
47,HD 128356 b
48,HD 17674 b
49,GJ 3323 c
50,HD 18015 b
51,Kepler-1649 c
52,HD 27969 b
53,HD 109286 b
54,Kepler-1868 b
55,KIC 3526061 b
56,TOI-1288 c
